wave,original_mac_m2.mg,original_corrected_mac_m2.mg,invivo_corrected_mac_m2.mg,invivo_corrected_750_normalised_mac_m2.mg,,,,200,0,0,0,0
490,0.073499861,0.073499861,0.158460227,0.130116457,,,,441,0.129559732,0.129559732,0.181470837,0.153127067
491,0.072741726,0.072741726,0.158114442,0.129770672,,,,442,0.127946341,0.127946341,0.180990889,0.152647119
492,0.071983591,0.071983591,0.15743466,0.12909089,,,,443,0.126531284,0.126531284,0.180429931,0.152086161
493,0.071283388,0.071283388,0.156802694,0.128458924,,,,444,0.125116226,0.125116226,0.179981953,0.151638183
494,0.070583185,0.070583185,0.15650327,0.1281595,,,,445,0.123546449,0.123546449,0.17979323,0.15144946
495,0.06966417,0.06966417,0.156199082,0.127855311,,,,446,0.121976671,0.121976671,0.179300259,0.150956489
496,0.068745155,0.068745155,0.155778442,0.127434672,,,,447,0.120544756,0.120544756,0.178523759,0.150179989
497,0.068675274,0.068675274,0.155293228,0.126949458,,,,448,0.119112841,0.119112841,0.177855545,0.149511775
498,0.068605393,0.068605393,0.155081489,0.126737718,,,,449,0.117296432,0.117296432,0.177364995,0.149021225
499,0.068130685,0.068130685,0.154693123,0.126349353,,,,450,0.115480022,0.115480022,0.176852757,0.148508986
500,0.067655978,0.067655978,0.154194849,0.125851079,,,,451,0.11421346,0.11421346,0.176177863,0.147834092
501,0.067145878,0.067145878,0.153758251,0.12541448,,,,452,0.112946899,0.112946899,0.175671412,0.147327642
502,0.066635777,0.066635777,0.153361752,0.125017982,,,,453,0.111455969,0.111455969,0.175154116,0.146810345
503,0.066299968,0.066299968,0.153050399,0.124706629,,,,454,0.109965039,0.109965039,0.174559732,0.146215962
504,0.065964159,0.065964159,0.152748672,0.124404902,,,,455,0.108454848,0.108454848,0.173758829,0.145415059
505,0.065781399,0.065781399,0.152505932,0.124162161,,,,456,0.106944657,0.106944657,0.172888173,0.144544402
506,0.065598639,0.065598639,0.152067719,0.123723949,,,,457,0.105602242,0.105602242,0.172158742,0.143814971
507,0.064920568,0.064920568,0.151587686,0.123243916,,,,458,0.104259827,0.104259827,0.171615449,0.143271679
508,0.064242496,0.064242496,0.151112215,0.122768445,,,,459,0.103121862,0.103121862,0.171124223,0.142780453
